"","subject","X.Intercept.","congr","intercept","gender","age","motivation","psychometric","math_anxiety","math_self_rating"
"1",1,-82.4823484208748,-5.16477281318962,-82.4823484208748,1,22,7,150,3,8
"2",3,63.0899435852798,5.43680656676451,63.0899435852798,0,22,7,140,6,4
"3",5,24.2487077379285,-2.76251385459929,24.2487077379285,1,26,6,130,5,6
"4",8,-19.7170219359238,2.20922586141399,-19.7170219359238,0,23,5,130,6,5
"5",12,-50.1224886202812,-1.14201703744483,-50.1224886202812,1,25,6,150,3,8
"6",14,28.4929831946016,-11.8225835416489,28.4929831946016,0,21,6,140,4,8
"7",16,130.172473349133,9.72735681610086,130.172473349133,0,22,6,140,7,6
"8",20,67.5465552210136,-6.47826960464131,67.5465552210136,0,19,7,150,2,8
"9",21,30.5954172405746,5.18167756935534,30.5954172405746,0,18,4,100,9,5
"10",22,-34.235919731292,-5.62285878944625,-34.235919731292,1,21,7,130,2,10
"11",23,-10.2467503295646,-5.15629859833641,-10.2467503295646,0,22,7,140,2,10
"12",27,135.971103600977,6.2978196161861,135.971103600977,0,19,7,150,5,7
"13",29,-13.5609627946023,-2.00349884023083,-13.5609627946023,0,23,6,130,2,7
"14",33,12.8837451401404,-5.72731929627756,12.8837451401404,0,24,6,100,4,7
"15",34,80.7118115229032,-1.67686385155096,80.7118115229032,0,24,6,80,8,4
"16",39,17.5668040477361,4.483700456851,17.5668040477361,0,21,5,150,4,7
"17",42,-16.2144971937511,-5.32129393291001,-16.2144971937511,0,28,4,130,6,5
"18",43,-41.2385391586793,6.55659908203988,-41.2385391586793,0,23,6,130,7,6
"19",44,-36.2361228920221,0.332945561668689,-36.2361228920221,0,24,5,130,7,6
"20",45,-22.8642417140238,-0.761440712390081,-22.8642417140238,1,28,5,150,1,10
"21",47,-6.20909509771088,3.55659741405463,-6.20909509771088,0,23,7,140,1,9
"22",48,-114.16998099691,-3.81595476080683,-114.16998099691,1,25,6,140,3,7
"23",49,47.7579109028023,11.9267462740517,47.7579109028023,0,22,5,130,9,5
"24",51,9.51325860072196,5.47397949989477,9.51325860072196,1,20,4,140,2,9
"25",56,-24.3732389239336,1.49585102624864,-24.3732389239336,0,23,7,NA,9,7
"26",59,-58.1520127367821,-10.8867319876952,-58.1520127367821,1,24,6,140,5,7
"27",60,-88.9848040469217,3.63004964464924,-88.9848040469217,0,26,6,NA,3,6
"28",61,10.9797192831212,-2.1502127002594,10.9797192831212,0,27,7,100,5,3
"29",63,3.32110667074882,7.44095265368945,3.32110667074882,1,24,5,140,1,8
"30",65,-44.0435155046739,-3.25767772155038,-44.0435155046739,0,25,7,150,2,9
"31",2,NA,NA,NA,0,22,5,140,2,7
"32",4,NA,NA,NA,1,23,7,150,2,8
"33",6,NA,NA,NA,0,22,6,130,7,3
"34",7,NA,NA,NA,0,24,7,140,2,8
"35",9,NA,NA,NA,0,22,4,140,3,7
"36",10,NA,NA,NA,0,22,7,150,5,8
"37",11,NA,NA,NA,0,22,6,140,8,6
"38",13,NA,NA,NA,0,24,6,NA,7,8
"39",15,NA,NA,NA,1,22,6,140,7,8
"40",17,NA,NA,NA,0,23,6,150,3,8
"41",18,NA,NA,NA,1,24,6,140,6,7
"42",19,NA,NA,NA,0,27,6,150,2,8
"43",24,NA,NA,NA,0,27,7,110,5,8
"44",25,NA,NA,NA,0,24,6,130,7,8
"45",26,NA,NA,NA,0,23,5,120,3,7
"46",28,NA,NA,NA,0,23,6,120,6,7
"47",30,NA,NA,NA,0,22,5,120,10,4
"48",31,NA,NA,NA,0,23,6,140,3,8
"49",32,NA,NA,NA,0,24,6,130,4,7
"50",35,NA,NA,NA,0,24,7,120,10,3
"51",36,NA,NA,NA,0,23,5,150,8,6
"52",37,NA,NA,NA,0,23,7,130,5,3
"53",38,NA,NA,NA,0,22,5,140,3,8
"54",40,NA,NA,NA,0,23,6,130,8,8
"55",41,NA,NA,NA,0,26,7,120,1,2
"56",46,NA,NA,NA,0,21,5,NA,2,8
"57",50,NA,NA,NA,0,20,5,110,3,5
"58",52,NA,NA,NA,0,21,6,140,10,6
"59",53,NA,NA,NA,0,24,5,110,8,3
"60",54,NA,NA,NA,0,23,55,NA,8,1
"61",55,NA,NA,NA,0,23,6,130,3,7
"62",57,NA,NA,NA,0,19,4,120,6,6
"63",58,NA,NA,NA,0,23,6,150,1,10
"64",62,NA,NA,NA,1,24,6,140,1,8
"65",64,NA,NA,NA,1,24,5,140,5,8
