"id","valenceE","rtms","logrt"
201,-0.5,907.749679333333,6.77449654637272
201,0.5,906.444277142857,6.78516092453935
202,0.5,796.278448647059,6.63186846974557
202,-0.5,946.0784198,6.79630604918403
204,0.5,776.888650941176,6.63546722451103
204,-0.5,864.836851666667,6.75979933818236
205,0.5,656.393051285714,6.47312115036701
205,-0.5,956.007862,6.82087934099734
206,0.5,1239.4237668125,7.04152201253402
206,-0.5,1102.438116,6.99050145348972
207,-0.5,1073.01356408333,6.95464813750825
207,0.5,1233.66276433333,7.09743755454957
208,0.5,842.367410571429,6.69087745289988
208,-0.5,1439.82161814286,7.26022311718822
209,0.5,1225.86904644444,7.06167759525278
209,-0.5,1534.21163566667,7.32712785006785
210,0.5,727.9021591875,6.56656333407411
210,-0.5,796.689748875,6.66504021573207
212,0.5,923.7790554375,6.78432909844018
212,-0.5,1350.80111033333,7.18405101267642
302,-0.5,1161.73056178571,7.03189679909401
302,0.5,989.735016307692,6.85352349890024
303,-0.5,1493.423462,7.30482564324206
303,0.5,879.526337,6.75867649561008
304,-0.5,897.09204425,6.76825395320714
304,0.5,648.398946235294,6.46498865488341
305,0.5,598.0098884,6.38383697451729
305,-0.5,651.04418975,6.47651533691498
306,0.5,931.73801895,6.81966684077354
306,-0.5,1358.732939,7.21430788196284
219,-0.5,840.848499,6.72531348985549
219,0.5,897.543925384615,6.76745860885889
220,0.5,764.323949736842,6.62218832193468
220,-0.5,1081.76867166667,6.97578900398628
221,0.5,1134.955498,7.00810471092239
221,-0.5,1409.28328953846,7.23979948006528
222,0.5,829.877004,6.70233613559694
222,-0.5,1323.90059366667,7.15820421652724
223,0.5,746.997131166667,6.61075080293806
223,-0.5,792.30845,6.67293989695129
224,-0.5,792.916112222222,6.66751107555254
224,0.5,702.691041461538,6.54936652521062
226,-0.5,1228.78148354545,7.08768895420851
226,0.5,951.510559363636,6.835201181397
228,-0.5,910.345077538462,6.78886331756591
228,0.5,915.292829375,6.76822623707915
229,0.5,925.985358090909,6.82687645654535
229,-0.5,918.318457222222,6.81916962426196
232,0.5,1045.15674115,6.90725213853046
232,-0.5,1264.01805866667,7.08613643562565
234,0.5,1117.986075,6.97927248591901
234,-0.5,1344.21894288889,7.17451429877526
235,0.5,1082.5808208,6.95136591072444
235,-0.5,1130.61269854545,7.01639013876423
236,0.5,894.341393421053,6.74650537878826
236,-0.5,858.0311535,6.75392810229464
237,0.5,1024.53957,6.91683886191085
237,-0.5,1155.52025576923,7.00213607768517
238,-0.5,1211.18940614286,7.06352810327442
238,0.5,1031.928092125,6.88952332347223
239,-0.5,1167.6881164375,7.02450824140495
239,0.5,1471.58676375,7.2895845691993
240,0.5,862.591028285714,6.70802141056273
240,-0.5,827.6932954,6.70975179008533
241,0.5,963.150421666667,6.79939364330127
241,-0.5,1121.91234041667,6.95936510269579
242,0.5,696.840763,6.53672851045442
242,-0.5,766.328845785714,6.62537853147916
243,-0.5,1169.67430725,7.03626358607811
243,0.5,1006.07219609091,6.88134726421375
244,0.5,862.956007333333,6.70610526355241
244,-0.5,785.4554056875,6.6457175303985
245,-0.5,971.80485725,6.82865923774007
245,0.5,740.251881714286,6.57058801466698
246,0.5,824.85432368421,6.69494158670329
246,-0.5,1109.253611,6.93274055975606
247,-0.5,993.934917466667,6.87573927047321
247,0.5,1291.8940185,7.15611759168884
248,0.5,760.392464076923,6.61377198432441
248,-0.5,1149.291992,7.04020641165276
249,-0.5,884.327888375,6.77459368477116
249,0.5,831.556383666667,6.70746588600408
250,0.5,1084.65523,6.9522760783894
251,0.5,1328.36329015385,7.15579539823021
251,-0.5,1509.3204974,7.3054556903399
252,-0.5,927.227837571429,6.8239754367975
252,0.5,771.237265,6.62733035538964
254,0.5,1087.56867478571,6.9519491853087
254,-0.5,1339.1490697,7.17216450024202
255,0.5,836.280924928571,6.69776266208581
255,-0.5,1366.222143,7.18582669148167
256,0.5,842.248422714286,6.72036669133139
256,-0.5,998.301029166667,6.90073403641291
257,0.5,874.576123533333,6.75039908327028
301,-0.5,1057.29375955556,6.95236244773139
301,0.5,910.101551789474,6.78656451480563
262,0.5,1199.81956475,7.05099720822418
262,-0.5,1213.5297655,7.08612614156437
263,0.5,986.625021181818,6.88787383516303
263,-0.5,1825.4790305,7.50892988131405
264,-0.5,777.596625454545,6.63553347629115
264,0.5,698.778115769231,6.5270741498158
265,0.5,1146.94232953333,7.00137810549984
265,-0.5,1316.62943633333,7.16449998802829
266,0.5,858.871777666667,6.72546339370745
266,-0.5,1256.24212354545,7.09112151380602
267,-0.5,1217.63682375,7.08659880710369
267,0.5,796.818570105263,6.65381346853254
268,0.5,714.077753176471,6.54886131562916
268,-0.5,782.8363418,6.64128538751311
269,0.5,935.758256866667,6.82933610803032
269,-0.5,1155.6987762,7.03792297492457
270,0.5,1197.76324416667,7.0792969057727
270,-0.5,1022.91785590909,6.92409022416964
271,0.5,1113.80507264286,6.99455043191368
271,-0.5,1183.01590857143,7.04449444129279
272,0.5,675.51119,6.50700364799756
273,0.5,1013.13713017647,6.89137814179907
273,-0.5,1414.92033033333,7.24914782251386
274,-0.5,1106.77641633333,6.9728564756257
274,0.5,1016.78209833333,6.88969604899504
